feature 1,feature 2
0.0,0.0
0.00025968795,0.0002454833
0.0005196247,0.00049119676
0.00077981106,0.00073714065
0.0010402463,0.0009833153
0.0013009317,0.0012297218
0.0015618682,0.0014763593
0.0018230559,0.0017232292
0.0020844932,0.0019703298
0.0023461832,0.0022176635
0.002608125,0.0024652313
0.0028703203,0.002713033
0.0031327677,0.0029610675
0.0033954687,0.003209336
0.0036584244,0.0034578396
0.0039216313,0.0037065772
0.0041850954,0.0039555505
0.0044488134,0.0042047594
0.0047127884,0.004454207
0.0049770176,0.0047038877
0.005241505,0.0049538063
0.0055062464,0.0052039633
0.005771246,0.005454356
0.0060365032,0.0057049873
0.0063020224,0.005955855
0.0065677967,0.006206965
0.006833828,0.006458313
0.007100122,0.0067099007
0.007366674,0.0069617284
0.0076334868,0.0072137965
0.007900557,0.0074661057
0.008167889,0.0077186553
0.008435488,0.007971441
0.008703342,0.008224474
0.008971468,0.008477754
0.009239849,0.00873127
0.009508492,0.008985033
0.009777406,0.009239037
0.010046581,0.00949328
0.010316024,0.009747777
0.010585727,0.010002514
0.010855695,0.010257499
0.011125929,0.01051273
0.011396434,0.010768204
0.011667205,0.01102392
0.01193824,0.011279892
0.012209544,0.011536112
0.012481118,0.01179257
0.012752963,0.012049286
0.013025079,0.012306241
0.0132974535,0.012563454
0.013570104,0.012820907
0.013843023,0.013078617
0.014116222,0.013336573
0.014389683,0.013594782
0.0146634225,0.0138532445
0.014937436,0.014111957
0.015211716,0.014370918
0.015486276,0.014630126
0.015761096,0.0148896035
0.016036209,0.015149323
0.016311582,0.015409296
0.016587239,0.01566952
0.016863164,0.015930008
0.017139377,0.016190749
0.01741587,0.016451739
0.017692626,0.016712988
0.017969662,0.016974498
0.018246993,0.017236259
0.018524587,0.01749828
0.018802471,0.017760552
0.019080617,0.018023096
0.01935906,0.018285893
0.019637782,0.018548943
0.01991678,0.018812254
0.020196058,0.019075833
0.020475624,0.019339658
0.020755474,0.019603755
0.021035612,0.01986811
0.021316022,0.020132735
0.021596722,0.020397611
0.021877706,0.020662753
0.022158973,0.020928152
0.02244053,0.021193836
0.022722375,0.021459766
0.023004506,0.021725956
0.023286927,0.021992423
0.023569632,0.022259142
0.023852631,0.022526145
0.024135906,0.022793401
0.02441949,0.02306094
0.024703342,0.023328729
0.024987508,0.023596786
0.02527196,0.02386513
0.025556684,0.024133727
0.025841724,0.024402592
0.026127048,0.02467173
0.02641267,0.024941139
0.026698567,0.025210824
0.026984785,0.025480777
0.02727128,0.025750997
0.027558077,0.02602149
0.027845176,0.02629226
0.028132576,0.026563304
0.028420255,0.026834626
0.028708238,0.02710621
0.02899653,0.027378075
0.029285114,0.027650222
0.029574,0.027922634
0.029863182,0.028195318
0.03015266,0.028468292
0.030442454,0.028741539
0.030732535,0.029015072
0.031022921,0.02928888
0.0313136,0.02956295
0.031604588,0.029837318
0.0318959,0.030111957
0.032187518,0.03038688
0.032479428,0.030662067
0.032771647,0.030937571
0.033064164,0.031213332
0.033356998,0.031489365
0.03365014,0.031765692
0.033943586,0.03204231
0.03423734,0.032319203
0.0345314,0.032596402
0.034825787,0.03287387
0.035120472,0.033151627
0.03541547,0.033429664
0.035710774,0.033708002
0.03600642,0.033986613
0.03630235,0.03426552
0.0365986,0.034544706
0.036895156,0.03482421
0.03719204,0.035103973
0.037489228,0.035384037
0.037786745,0.035664383
0.03808458,0.035945028
0.038382716,0.036225975
0.03868117,0.03650719
0.038979962,0.03678871
0.03927908,0.03707052
0.03957849,0.03735264
0.039878234,0.037635036
0.040178284,0.03791774
0.04047869,0.03820074
0.04077939,0.03848403
0.041080415,0.03876762
0.041381776,0.039051503
0.041683488,0.039335698
0.041985467,0.03962017
0.042287797,0.039904952
0.042590454,0.04019004
0.042893447,0.040475406
0.04319676,0.0407611
0.043500416,0.04104709
0.0438044,0.041333362
0.04410868,0.04161998
0.044413313,0.04190688
0.04471827,0.042194083
0.045023575,0.04248158
0.0453292,0.042769387
0.045635156,0.0430575
